ID,Verb,Variable,NewVal,Comment,Reviewer
2008_141,Flag,ResidueMassAirDryPerArea_P2,,"Potential mistyped variable or missing information in original measurements: ""there is a residue sub sample dry weight for this sample, but no residue subsample wet or corresponding total residue weights?""",Bryan Carlson
2008_141,Flag,ResidueMassWetPerArea_P2,,"Potential mistyped variable or missing information in original measurements: ""there is a residue sub sample dry weight for this sample, but no residue subsample wet or corresponding total residue weights?""",Bryan Carlson
GPHY12_WW_A5_2_6-A,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A6_4_8-A,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_B4_9_13-A,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A4_22_5-B,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_B4_30_13-B,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A3_45_5-C,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A3_46_6-C,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A5_48_8-C,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A2_69_4-D,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A4_73_8-D,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A5_101_9-E,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_SW_B1_103_11-E,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_SW_C2_139_21-F,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A2_150_7-G,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_B4_160_17-G,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A1_175_6-H,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A1_176_7-H,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A4_179_10-H,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
GPHY12_WW_A1_201_8-I,Flag,GrainYieldWet_P2,,"Potential loss of sample, a note indicated mice damage",Bryan Carlson
