HarvestYear,FieldId,ID2,SampleId,Crop,Crop_qcApplied,Crop_qcResult,Crop_qcPhrase,CropExists,CropExists_qcApplied,CropExists_qcResult,CropExists_qcPhrase,HarvestDate,HarvestDate_qcApplied,HarvestDate_qcResult,HarvestDate_qcPhrase,BiomassDry,BiomassDry_qcApplied,BiomassDry_qcResult,BiomassDry_qcPhrase,GrainMassDry,GrainMassDry_qcApplied,GrainMassDry_qcResult,GrainMassDry_qcPhrase,GrainTestWeight,GrainTestWeight_qcApplied,GrainTestWeight_qcResult,GrainTestWeight_qcPhrase,GrainMoisture,GrainMoisture_qcApplied,GrainMoisture_qcResult,GrainMoisture_qcPhrase,GrainProtein,GrainProtein_qcApplied,GrainProtein_qcResult,GrainProtein_qcPhrase,GrainStarch,GrainStarch_qcApplied,GrainStarch_qcResult,GrainStarch_qcPhrase,GrainGluten,GrainGluten_qcApplied,GrainGluten_qcResult,GrainGluten_qcPhrase,GrainOil,GrainOil_qcApplied,GrainOil_qcResult,GrainOil_qcPhrase,GrainCarbon,GrainCarbon_qcApplied,GrainCarbon_qcResult,GrainCarbon_qcPhrase,Grain13C,Grain13C_qcApplied,Grain13C_qcResult,Grain13C_qcPhrase,GrainNitrogen,GrainNitrogen_qcApplied,GrainNitrogen_qcResult,GrainNitrogen_qcPhrase,ResidueCarbon,ResidueCarbon_qcApplied,ResidueCarbon_qcResult,ResidueCarbon_qcPhrase,Residue13C,Residue13C_qcApplied,Residue13C_qcResult,Residue13C_qcPhrase,ResidueNitrogen,ResidueNitrogen_qcApplied,ResidueNitrogen_qcResult,ResidueNitrogen_qcPhrase,GrainMass0,GrainMass0_qcApplied,GrainMass0_qcResult,GrainMass0_qcPhrase,GrainMass125,GrainMass125_qcApplied,GrainMass125_qcResult,GrainMass125_qcPhrase,GrainYieldDryPerArea,GrainYieldDryPerArea_qcApplied,GrainYieldDryPerArea_qcResult,GrainYieldDryPerArea_qcPhrase,GrainYield0PerArea,GrainYield0PerArea_qcApplied,GrainYield0PerArea_qcResult,GrainYield0PerArea_qcPhrase,GrainYield125PerArea,GrainYield125PerArea_qcApplied,GrainYield125PerArea_qcResult,GrainYield125PerArea_qcPhrase,BiomassDryPerArea,BiomassDryPerArea_qcApplied,BiomassDryPerArea_qcResult,BiomassDryPerArea_qcPhrase,HarvestIndex,HarvestIndex_qcApplied,HarvestIndex_qcResult,HarvestIndex_qcPhrase,Comments,QualityControlFlag
2017,CE,1,CE1_Bio_SW_2017_5-A,SW,1,0,,1,1,0,,,1,0,,1198.7,1,0,,625.3,1,0,,57.5,1,0,,3.0,1,0,,11.7,1001,0,,69.1,1,0,,19.7,1,0,,,1,0,,,1011,0,,,1,0,,,1011,0,,44.13805721096544,1011,0,,,1,0,,0.439046483909416,1011,0,,606.5409999999999,1,0,,682.358625,1,0,,256.43864829396324,1011,0,,248.7454888451443,1,0,,279.8386749507874,1,0,,491.5928477690289,11,0,,0.5216484524901976,1,0,,,0
2017,CE,1,CE1_Bio_SW_2017_5-A,SW,1,0,,1,1,0,,,1,0,,1198.7,1,0,,625.3,1,0,,57.5,1,0,,3.0,1,0,,11.7,1001,0,,69.1,1,0,,19.7,1,0,,,1,0,,,1011,0,,,1,0,,,1011,0,,44.13805721096544,1011,0,,,1,0,,0.439046483909416,1011,0,,606.5409999999999,1,0,,682.358625,1,0,,256.43864829396324,1011,0,,248.7454888451443,1,0,,279.8386749507874,1,0,,491.5928477690289,11,0,,0.5216484524901976,1,0,,,0
2017,CE,1,CE1_Bio_SW_2017_5-A,SW,1,0,,1,1,0,,,1,0,,1198.7,1,0,,625.3,1,0,,57.5,1,0,,3.0,1,0,,11.7,1001,0,,69.1,1,0,,19.7,1,0,,,1,0,,,1011,0,,,1,0,,,1011,0,,44.13805721096544,1011,0,,,1,0,,0.439046483909416,1011,0,,606.5409999999999,1,0,,682.358625,1,0,,256.43864829396324,1011,0,,248.7454888451443,1,0,,279.8386749507874,1,0,,491.5928477690289,11,0,,0.5216484524901976,1,0,,,0
2017,CE,2,CE2_Bio_SW_2017_6-A,SW,1,0,,1,1,0,,,1,0,,1949.7,1,0,,942.3,1,0,,57.28124999999999,1,0,,3.8,1,0,,12.8,1001,0,,69.2,1,0,,21.2,1,0,,,1,0,,,1011,0,,,1,0,,,1011,0,,,1011,0,,,1,0,,,1011,0,,906.4926,1,0,,1019.804175,1,0,,386.4419291338583,1011,0,,371.7571358267716,1,0,,418.2267778051181,1,0,,799.5816929133858,11,0,,0.48330512386521,1,0,,,0
2017,CE,2,CE2_Bio_SW_2017_6-A,SW,1,0,,1,1,0,,,1,0,,1949.7,1,0,,942.3,1,0,,57.28124999999999,1,0,,3.8,1,0,,12.8,1001,0,,69.2,1,0,,21.2,1,0,,,1,0,,,1011,0,,,1,0,,,1011,0,,,1011,0,,,1,0,,,1011,0,,906.4926,1,0,,1019.804175,1,0,,386.4419291338583,1011,0,,371.7571358267716,1,0,,418.2267778051181,1,0,,799.5816929133858,11,0,,0.48330512386521,1,0,,,0
2017,CE,2,CE2_Bio_SW_2017_6-A,SW,1,0,,1,1,0,,,1,0,,1949.7,1,0,,942.3,1,0,,57.28124999999999,1,0,,3.8,1,0,,12.8,1001,0,,69.2,1,0,,21.2,1,0,,,1,0,,,1011,0,,,1,0,,,1011,0,,,1011,0,,,1,0,,,1011,0,,906.4926,1,0,,1019.804175,1,0,,386.4419291338583,1011,0,,371.7571358267716,1,0,,418.2267778051181,1,0,,799.5816929133858,11,0,,0.48330512386521,1,0,,,0
2017,CE,3,CE3_Bio_SW_2017_7-A,SW,1,0,,1,1,0,,,1,0,,1413.7,1,0,,777.3,1,0,,59.0,1,0,,4.4,1,0,,11.3,1001,0,,70.4,1,0,,20.3,1,0,,,1,0,,,1011,0,,,1,0,,,1011,0,,43.54695403861844,1011,0,,,1,0,,0.4390318194180038,1011,0,,743.0988,1,0,,835.98615,1,0,,318.77460629921256,1011,0,,304.74852362204723,1,0,,342.84208907480314,1,0,,579.7654199475065,11,0,,0.549833769540921,1,0,,,0
2017,CE,3,CE3_Bio_SW_2017_7-A,SW,1,0,,1,1,0,,,1,0,,1413.7,1,0,,777.3,1,0,,59.0,1,0,,4.4,1,0,,11.3,1001,0,,70.4,1,0,,20.3,1,0,,,1,0,,,1011,0,,,1,0,,,1011,0,,43.54695403861844,1011,0,,,1,0,,0.4390318194180038,1011,0,,743.0988,1,0,,835.98615,1,0,,318.77460629921256,1011,0,,304.74852362204723,1,0,,342.84208907480314,1,0,,579.7654199475065,11,0,,0.549833769540921,1,0,,,0
2017,CE,3,CE3_Bio_SW_2017_7-A,SW,1,0,,1,1,0,,,1,0,,1413.7,1,0,,777.3,1,0,,59.0,1,0,,4.4,1,0,,11.3,1001,0,,70.4,1,0,,20.3,1,0,,,1,0,,,1011,0,,,1,0,,,1011,0,,43.54695403861844,1011,0,,,1,0,,0.4390318194180038,1011,0,,743.0988,1,0,,835.98615,1,0,,318.77460629921256,1011,0,,304.74852362204723,1,0,,342.84208907480314,1,0,,579.7654199475065,11,0,,0.549833769540921,1,0,,,0
2017,CE,4,CE4_Bio_SW_2017_8-A,SW,1,0,,1,1,0,,,1,0,,1629.7,1,0,,777.3,1,0,,57.4,1,0,,1.2,1,0,,12.5,1001,0,,68.8,1,0,,19.4,1,0,,,1,0,,,1011,0,,,1,0,,,1011,0,,,1011,0,,,1,0,,,1011,0,,767.9724,1,0,,863.96895,1,0,,318.77460629921256,1011,0,,314.94931102362204,1,0,,354.3179749015748,1,0,,668.3480971128608,11,0,,0.4769589494999079,1,0,,,0
