HarvestYear,Crop,SampleID,Latitude,Longitude,ID2,GrainYieldDryPerArea,ResidueDryPerArea,Notes
2010,SW,CF10GPSW_1_5-A,-117.087514,46.778729,1,300.328227571116,,
2010,GB,CF10GPGB_2_6-A,-117.08706455,46.77869163,2,64.55142231947484,,
2010,GB,CF10GPGB_3_7-A,-117.086678,46.778791,3,102.84463894967176,,
2010,SB,CF10GPSB_4_8-A,-117.08626,46.778761,4,417.39606126914657,,
2010,GB,CF10GPGB_5_9-A,-117.085842,46.778666,5,155.90809628008753,,
2010,GB,CF10GPGB_6_10-A,-117.08541875,46.77877321,6,159.7374179431072,,
2010,GB,CF10GPGB_7_11-A,-117.085006,46.778632,7,175.054704595186,,
2010,GB,CF10GPGB_8_12-A,-117.084588,46.778721,8,124.72647702407002,,
2010,GB,CF10GPGB_9_13-A,-117.08417,46.778674,9,118.7089715536105,,
2010,SW,CF10GPSW_10_14-A,-117.083752,46.778737,10,316.7396061269146,,
2010,SW,CF10GPSW_11_15-A,-117.083334,46.778658,11,473.1947483588621,,
2010,SW,CF10GPSW_12_16-A,-117.08293984,46.77873108,12,410.2844638949672,,
2010,WW,CF10GPWW_13_17-A,-117.082498,46.778764,13,558.5339168490153,,
2010,WW,CF10GPWW_14_19-A,-117.08163216,46.77868863,14,413.0196936542669,,
2010,WW,CF10GPWW_15_20-A,-117.081244,46.778707,15,423.96061269146605,,
2010,WW,CF10GPWW_16_22-A,-117.080408,46.778826,16,559.0809628008752,,
2010,WW,CF10GPWW_17_23-A,-117.07999,46.778797,17,708.9715536105033,,
2010,SW,CF10GPSW_18_1-B,-117.08888012,46.77895174,18,,,Alfalfa
2010,SW,CF10GPSW_19_2-B,-117.08846626,46.77882662,19,307.4398249452954,,
2010,SW,CF10GPSW_20_3-B,-117.088064,46.778867,20,254.37636761487963,,
2010,SW,CF10GPSW_21_4-B,-117.087646,46.778842,21,289.38730853391684,,
2010,SW,CF10GPSW_22_5-B,-117.087228,46.779015,22,212.80087527352296,,
2010,SW,CF10GPSW_23_6-B,-117.08683097,46.77900278,23,340.26258205689277,,
2010,GB,CF10GPGB_24_7-B,-117.086392,46.779077,24,131.2910284463895,,
2010,SB,CF10GPSB_25_8-B,-117.085974,46.779047,25,521.8818380743983,,
2010,GB,CF10GPGB_26_9-B,-117.085556,46.778952,26,185.9956236323851,,
2010,GB,CF10GPGB_27_10-B,-117.08511704,46.77906282,27,139.49671772428883,,
2010,GB,CF10GPGB_28_11-B,-117.08472,46.778918,28,189.8249452954048,207.10247994164843,
2010,GB,CF10GPGB_29_12-B,-117.084302,46.779007,29,76.03938730853392,,
2010,GB,CF10GPGB_30_13-B,-117.083884,46.77896,30,166.84901531728664,,
2010,SW,CF10GPSW_31_14-B,-117.083466,46.779023,31,405.90809628008753,,
2010,SW,CF10GPSW_32_15-B,-117.083048,46.778944,32,376.36761487964986,,
2010,SW,CF10GPSW_33_16-B,-117.08263,46.779013,33,,,
